Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0312,0.0642,0.1462,0.2569,0.3415,0.4121,0.4907,0.5566,0.5938,0.6136,0.6182,0.6094,0.5832,0.5332,0.46,0.3734,0.2841,0.196,0.1196,0.068,0.0414,0.0294,0.0225,0.0189,0.0187,0.0202,0.0229,0.0285,0.0356,0.0386,0.036,0.0316,0.0274,0.0267,0.0338,0.0531
P2,0.049,0.0803,0.1494,0.2279,0.2704,0.2768,0.2632,0.2351,0.2011,0.1623,0.1204,0.091,0.0694,0.0418,0.0214,0.0176,0.0198,0.0174,0.0193,0.0524,0.1584,0.3302,0.496,0.6198,0.6948,0.7345,0.7575,0.7705,0.7785,0.7809,0.7781,0.777,0.7801,0.7852,0.7912,0.7982
P3,0.0319,0.0305,0.0329,0.0307,0.0262,0.0222,0.0233,0.024,0.0283,0.0681,0.1938,0.3713,0.5048,0.5853,0.6374,0.673,0.6982,0.7142,0.7223,0.7314,0.7376,0.7445,0.7491,0.7527,0.7592,0.7691,0.7806,0.7881,0.7921,0.7914,0.7874,0.7865,0.7894,0.7938,0.7986,0.8044
P4,0.0086,0.0166,0.0561,0.1309,0.1865,0.2127,0.2227,0.213,0.1886,0.1562,0.1183,0.0909,0.0694,0.0424,0.0213,0.0152,0.0138,0.0094,0.0068,0.0094,0.0169,0.0243,0.0263,0.026,0.0271,0.0291,0.0324,0.0384,0.0458,0.049,0.0461,0.0414,0.0369,0.0361,0.0436,0.0632
P5,0.0097,0.0098,0.0143,0.0216,0.0222,0.0207,0.0234,0.0249,0.0294,0.0662,0.1769,0.3223,0.4103,0.4293,0.3992,0.3398,0.2671,0.1896,0.1199,0.0722,0.047,0.0352,0.0282,0.0243,0.0241,0.0257,0.029,0.0349,0.0422,0.0452,0.0425,0.038,0.0336,0.0328,0.0406,0.0606
P6,0.011,0.0121,0.0167,0.0213,0.0204,0.0176,0.0173,0.016,0.0161,0.0258,0.0464,0.061,0.0579,0.0392,0.0224,0.0191,0.0214,0.0192,0.0212,0.0547,0.1584,0.3241,0.4824,0.5992,0.6704,0.7103,0.7356,0.7505,0.7587,0.7608,0.7583,0.7584,0.7623,0.768,0.774,0.7794
P7,0.0114,0.0187,0.0392,0.0601,0.0646,0.0631,0.0676,0.0669,0.0685,0.0952,0.1403,0.1671,0.161,0.1253,0.0862,0.0727,0.0709,0.0567,0.0458,0.0564,0.0798,0.096,0.0972,0.0947,0.0968,0.102,0.1101,0.1232,0.138,0.144,0.1384,0.1294,0.1204,0.1185,0.1332,0.1672
P8,0.0579,0.0992,0.1823,0.28,0.3433,0.3758,0.3923,0.3887,0.3686,0.3356,0.2927,0.2579,0.2261,0.1752,0.1246,0.107,0.1048,0.0871,0.0736,0.0884,0.1181,0.1372,0.1385,0.1353,0.1375,0.1435,0.1529,0.1677,0.184,0.1905,0.1841,0.1738,0.1636,0.1615,0.1775,0.2144
P9,0.0494,0.0668,0.0943,0.114,0.1146,0.1131,0.1239,0.1289,0.141,0.2131,0.3613,0.5062,0.5784,0.5941,0.5741,0.5279,0.4643,0.3871,0.306,0.2393,0.1951,0.1695,0.1516,0.1408,0.1404,0.1454,0.1545,0.1696,0.1864,0.1928,0.1862,0.1761,0.166,0.1634,0.18,0.2187
P10,0.0612,0.0743,0.0981,0.1133,0.1115,0.1058,0.1086,0.1057,0.1068,0.1388,0.1907,0.2208,0.2153,0.1763,0.132,0.1218,0.1304,0.1222,0.1256,0.1963,0.3422,0.5063,0.6243,0.6934,0.7308,0.7519,0.767,0.7762,0.7817,0.782,0.7782,0.7764,0.7795,0.7839,0.7891,0.7952
P11,0.2415,0.3035,0.3844,0.4639,0.5148,0.5435,0.5606,0.5621,0.5504,0.5284,0.4968,0.4703,0.4434,0.3949,0.3419,0.3206,0.316,0.2912,0.2706,0.2892,0.3287,0.3565,0.3623,0.3611,0.3649,0.372,0.3831,0.3988,0.4156,0.4212,0.4133,0.4025,0.3926,0.3907,0.4072,0.4436
P12,0.2506,0.2749,0.3025,0.3231,0.3266,0.3241,0.3294,0.3264,0.3265,0.3578,0.4087,0.4416,0.4411,0.4068,0.3638,0.3532,0.3625,0.3533,0.3555,0.423,0.5432,0.6582,0.7278,0.7639,0.7837,0.7961,0.8069,0.8132,0.8173,0.817,0.8126,0.8105,0.8128,0.8168,0.8219,0.8283
P13,0.1378,0.1737,0.2152,0.2481,0.2594,0.2622,0.273,0.2739,0.2779,0.3164,0.3738,0.4067,0.4029,0.3631,0.3131,0.2936,0.2902,0.2656,0.2451,0.2649,0.3052,0.3321,0.3365,0.3344,0.3384,0.3463,0.3583,0.3752,0.393,0.3992,0.3915,0.3803,0.3698,0.3682,0.3861,0.4251
P14,0.2213,0.2565,0.2917,0.3174,0.3247,0.328,0.3444,0.3528,0.3671,0.4345,0.554,0.6574,0.7052,0.7166,0.7077,0.6817,0.6414,0.5862,0.5214,0.4654,0.4241,0.3988,0.3799,0.3684,0.3684,0.3744,0.3851,0.401,0.4179,0.4236,0.4158,0.4048,0.395,0.3931,0.4103,0.4477
P15,0.4556,0.515,0.58,0.6412,0.6783,0.6992,0.7131,0.7172,0.7136,0.7038,0.6892,0.6776,0.6636,0.634,0.5998,0.5828,0.5751,0.5524,0.5308,0.5407,0.5696,0.5942,0.6025,0.6045,0.6089,0.6153,0.6247,0.6357,0.6469,0.6495,0.6425,0.6351,0.6294,0.6293,0.6413,0.6659
P16,0.4414,0.4815,0.5221,0.5554,0.5708,0.5799,0.5954,0.6041,0.6144,0.6531,0.7192,0.7752,0.8003,0.8067,0.8037,0.7919,0.7726,0.7435,0.706,0.6736,0.6476,0.631,0.6183,0.6108,0.6116,0.6166,0.6257,0.637,0.6484,0.6512,0.6443,0.6367,0.6308,0.6304,0.6425,0.6679
P17,0.4638,0.4952,0.5241,0.5504,0.5614,0.5639,0.5704,0.569,0.5683,0.588,0.6233,0.6507,0.6552,0.6359,0.6104,0.6039,0.6099,0.6036,0.603,0.6441,0.711,0.7699,0.8019,0.818,0.8282,0.8357,0.8436,0.8483,0.8514,0.8505,0.846,0.8437,0.8457,0.8491,0.8539,0.8606
P18,0.0073,0.0082,0.0104,0.0149,0.0186,0.0213,0.0235,0.0254,0.0266,0.0276,0.0282,0.0285,0.0284,0.0275,0.0255,0.0224,0.0184,0.0137,0.0095,0.0069,0.0057,0.0052,0.0049,0.0047,0.0048,0.0048,0.005,0.0052,0.0054,0.0056,0.0053,0.0051,0.0051,0.0053,0.006,0.0076
P19,0.0064,0.0076,0.0108,0.0155,0.018,0.0182,0.0178,0.0166,0.0151,0.0132,0.0111,0.0094,0.0083,0.0071,0.0061,0.0059,0.0059,0.0059,0.0064,0.0083,0.0125,0.0178,0.0208,0.0221,0.023,0.0238,0.025,0.0264,0.0277,0.028,0.0276,0.0273,0.0274,0.0282,0.0306,0.0341
P20,0.0088,0.0083,0.0076,0.0083,0.0081,0.0076,0.0075,0.0077,0.0086,0.011,0.0162,0.0216,0.0248,0.0262,0.0269,0.0273,0.0273,0.0266,0.0252,0.0236,0.0221,0.0211,0.0204,0.0199,0.0201,0.0207,0.0215,0.0227,0.0236,0.0241,0.0239,0.0238,0.0239,0.0247,0.0268,0.0301
P21,0.0094,0.0086,0.0111,0.0162,0.0187,0.0197,0.0204,0.0205,0.0201,0.0192,0.0178,0.0166,0.0155,0.0133,0.0111,0.0102,0.0098,0.0088,0.008,0.0084,0.0094,0.0099,0.0099,0.0097,0.0097,0.0099,0.0105,0.0113,0.0122,0.0126,0.0121,0.0119,0.0115,0.0119,0.0135,0.017
P22,0.007,0.007,0.0084,0.0095,0.01,0.0102,0.0108,0.0113,0.012,0.0148,0.0194,0.0234,0.0252,0.0255,0.0252,0.0242,0.0224,0.0198,0.0164,0.0135,0.0114,0.0102,0.0093,0.0089,0.009,0.0092,0.0097,0.0105,0.0114,0.0117,0.0114,0.011,0.0108,0.0112,0.0127,0.0155
P23,0.0067,0.0075,0.0091,0.0106,0.011,0.0106,0.0109,0.0107,0.0111,0.0125,0.0148,0.0161,0.0159,0.0142,0.0123,0.0117,0.0119,0.0114,0.0114,0.0135,0.0169,0.0198,0.0207,0.021,0.0214,0.0222,0.0231,0.0245,0.0257,0.0261,0.0259,0.0256,0.0258,0.0265,0.0288,0.0323
P24,0.0084,0.0081,0.0093,0.0114,0.0125,0.0131,0.0134,0.0137,0.0142,0.0156,0.0175,0.0187,0.0187,0.0174,0.0159,0.015,0.0147,0.0135,0.0123,0.0124,0.0128,0.0131,0.0129,0.0126,0.0126,0.0131,0.0138,0.0148,0.016,0.0163,0.0159,0.0156,0.0154,0.0158,0.0176,0.0208
P25,0.0084,0.0097,0.0129,0.017,0.0186,0.0199,0.0211,0.0215,0.0223,0.023,0.0236,0.0243,0.025,0.0253,0.0255,0.0254,0.0251,0.0243,0.0226,0.0208,0.0193,0.0183,0.0174,0.017,0.0172,0.0177,0.0186,0.0197,0.0208,0.0213,0.0211,0.0211,0.0209,0.0216,0.0237,0.0268
P26,0.6921,0.7286,0.7634,0.8027,0.8256,0.8366,0.845,0.8494,0.8524,0.8552,0.8595,0.8653,0.8677,0.867,0.8667,0.8658,0.8645,0.8617,0.8568,0.8566,0.8533,0.8513,0.8499,0.8499,0.8527,0.8568,0.8629,0.8663,0.8689,0.8676,0.8629,0.8608,0.8622,0.8656,0.8704,0.8777
