Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0187,0.0522,0.1352,0.2478,0.3365,0.4111,0.4941,0.5614,0.6017,0.6236,0.6281,0.6178,0.5907,0.5412,0.4664,0.3769,0.2854,0.1958,0.1178,0.067,0.0404,0.0286,0.0216,0.018,0.0179,0.0194,0.0223,0.0281,0.0356,0.039,0.0364,0.032,0.0274,0.0266,0.0344,0.0579
P2,0.0439,0.0733,0.1438,0.2259,0.2735,0.2819,0.2683,0.2402,0.2069,0.1667,0.1228,0.0929,0.0711,0.0425,0.0217,0.018,0.0205,0.0177,0.0196,0.0532,0.164,0.3379,0.5061,0.6309,0.7061,0.7454,0.7676,0.7807,0.7886,0.7904,0.7874,0.7849,0.7877,0.7923,0.7958,0.8001
P3,0.0313,0.0297,0.032,0.0303,0.0251,0.0212,0.0225,0.0227,0.027,0.0675,0.2006,0.3826,0.5156,0.596,0.6481,0.6846,0.7095,0.7247,0.7319,0.7408,0.7473,0.7546,0.7587,0.7623,0.7687,0.7786,0.7894,0.7973,0.8014,0.8001,0.7966,0.7948,0.7973,0.8015,0.8034,0.8056
P4,0.0055,0.013,0.0506,0.1259,0.1866,0.2157,0.2271,0.2175,0.194,0.16,0.1203,0.0924,0.0708,0.0428,0.0215,0.0156,0.0141,0.0094,0.0068,0.0096,0.0175,0.0251,0.027,0.0266,0.0277,0.0299,0.0333,0.0394,0.047,0.0502,0.0473,0.0424,0.0378,0.037,0.0452,0.069
P5,0.0063,0.008,0.0133,0.0209,0.0219,0.0201,0.0231,0.024,0.0285,0.0661,0.1834,0.3323,0.4189,0.4371,0.4054,0.3436,0.2689,0.19,0.1189,0.072,0.0469,0.0356,0.0284,0.0245,0.0245,0.0262,0.0294,0.0356,0.0431,0.0464,0.0434,0.0389,0.0343,0.0337,0.0421,0.0667
P6,0.0074,0.009,0.0144,0.0206,0.0202,0.0177,0.0174,0.016,0.0158,0.0261,0.048,0.0626,0.059,0.0395,0.022,0.0189,0.0216,0.0188,0.021,0.0547,0.1627,0.3308,0.4919,0.6097,0.681,0.7211,0.7455,0.7603,0.7684,0.7699,0.7676,0.7661,0.7696,0.7747,0.7781,0.7815
P7,0.0089,0.0154,0.0373,0.0602,0.0654,0.0644,0.0694,0.0682,0.0694,0.098,0.1451,0.1711,0.1644,0.1273,0.087,0.0741,0.0725,0.0569,0.0461,0.0577,0.0824,0.0984,0.0992,0.0965,0.0986,0.1038,0.1119,0.1254,0.1406,0.1467,0.1412,0.1319,0.1224,0.1203,0.1357,0.1762
P8,0.0515,0.0911,0.1758,0.2773,0.3451,0.3807,0.3987,0.3957,0.3766,0.3425,0.2978,0.2623,0.2304,0.1786,0.1269,0.11,0.1083,0.0887,0.0751,0.0911,0.1217,0.1406,0.1414,0.138,0.1404,0.1463,0.1557,0.1708,0.1875,0.1943,0.188,0.1775,0.1665,0.1641,0.1809,0.2238
P9,0.0433,0.0608,0.0913,0.1147,0.1164,0.1138,0.1253,0.1296,0.1412,0.2164,0.372,0.5177,0.5879,0.6032,0.582,0.5341,0.4684,0.3892,0.3058,0.2401,0.1959,0.1712,0.153,0.1422,0.1421,0.1472,0.1563,0.1718,0.1891,0.1959,0.1894,0.1789,0.1681,0.1655,0.1829,0.2277
