Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0321,0.0657,0.1468,0.2572,0.3415,0.4121,0.4915,0.5567,0.594,0.6134,0.618,0.609,0.5827,0.5326,0.4593,0.3728,0.2835,0.1956,0.1194,0.0684,0.0419,0.0299,0.023,0.0194,0.0193,0.0206,0.0234,0.029,0.036,0.0391,0.0363,0.032,0.028,0.0272,0.0341,0.0534
P2,0.0491,0.0816,0.1484,0.2269,0.2691,0.2749,0.2613,0.2334,0.1998,0.1613,0.1192,0.0901,0.0686,0.0413,0.0211,0.0174,0.0194,0.0172,0.019,0.0518,0.1575,0.3285,0.4939,0.6176,0.6923,0.7318,0.7549,0.7678,0.776,0.7784,0.7757,0.7747,0.7778,0.7831,0.7893,0.7962
P3,0.0347,0.032,0.0337,0.0324,0.0263,0.0226,0.024,0.0246,0.0291,0.0689,0.1946,0.3714,0.5044,0.5848,0.6365,0.6719,0.6972,0.7132,0.7213,0.7303,0.7364,0.7432,0.7478,0.7513,0.7579,0.7678,0.7795,0.787,0.7911,0.7903,0.7864,0.7856,0.7888,0.7931,0.7977,0.8036
P4,0.0101,0.0173,0.0566,0.1313,0.1873,0.2134,0.223,0.2131,0.1887,0.1561,0.1183,0.0905,0.0692,0.0422,0.0213,0.0151,0.0136,0.0093,0.0068,0.0095,0.0171,0.0247,0.0267,0.0264,0.0276,0.0297,0.033,0.0392,0.0466,0.0497,0.0467,0.0419,0.0374,0.0366,0.0445,0.0643
P5,0.009,0.0093,0.0141,0.0217,0.0217,0.0206,0.0236,0.025,0.0296,0.0668,0.1776,0.3225,0.41,0.4289,0.3988,0.3392,0.2666,0.1893,0.1198,0.0722,0.0471,0.0354,0.0282,0.0245,0.0243,0.0259,0.0291,0.035,0.0423,0.0453,0.0425,0.0379,0.0337,0.0329,0.0407,0.061
P6,0.0086,0.011,0.0159,0.0211,0.0197,0.0172,0.0169,0.0157,0.0159,0.0256,0.0462,0.0608,0.0578,0.0392,0.0222,0.019,0.0213,0.0191,0.0211,0.0544,0.158,0.3235,0.4817,0.5982,0.6692,0.709,0.7344,0.7491,0.7577,0.7595,0.7574,0.7572,0.7615,0.7672,0.7731,0.7789
P7,0.0123,0.0193,0.0398,0.0612,0.0649,0.0635,0.0682,0.0673,0.0686,0.0957,0.1404,0.167,0.1609,0.1252,0.0861,0.0727,0.071,0.0567,0.0458,0.0566,0.08,0.096,0.0974,0.0949,0.097,0.1022,0.1103,0.1235,0.1382,0.1441,0.1386,0.1295,0.1206,0.119,0.1335,0.1675
P8,0.0567,0.0995,0.1838,0.2807,0.3439,0.3754,0.392,0.3884,0.3683,0.3355,0.2927,0.258,0.2261,0.1754,0.1249,0.1075,0.1053,0.0876,0.0741,0.0888,0.1185,0.1375,0.1386,0.1355,0.1379,0.1436,0.1529,0.1678,0.1841,0.1906,0.1842,0.1739,0.1641,0.1617,0.1776,0.2146
P9,0.0512,0.0666,0.0955,0.1149,0.1153,0.1139,0.1244,0.1292,0.1414,0.2136,0.3615,0.5055,0.5771,0.5926,0.5724,0.5261,0.4627,0.3855,0.3046,0.2382,0.194,0.1687,0.1508,0.1401,0.1397,0.1447,0.154,0.1689,0.1855,0.1919,0.1856,0.1753,0.1651,0.163,0.1794,0.2178
