Wavelength(nm),380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
P1,0.0205,0.0534,0.1359,0.2486,0.337,0.4107,0.4937,0.5608,0.5997,0.621,0.6257,0.6155,0.5885,0.5391,0.4643,0.3751,0.2838,0.1946,0.1168,0.0665,0.0402,0.0285,0.0216,0.018,0.018,0.0195,0.0222,0.028,0.0354,0.0387,0.0362,0.0317,0.0271,0.0263,0.0341,0.0572
P2,0.0436,0.0733,0.1447,0.2255,0.2722,0.2805,0.2664,0.2379,0.205,0.1645,0.1209,0.0914,0.0697,0.0414,0.0209,0.0175,0.0197,0.0169,0.0189,0.0522,0.1622,0.3353,0.5032,0.6279,0.7029,0.7422,0.7646,0.7776,0.7857,0.7879,0.7853,0.783,0.7855,0.7904,0.7939,0.7977
P3,0.0305,0.0305,0.0326,0.0311,0.0253,0.0214,0.023,0.0233,0.0272,0.0677,0.2004,0.3821,0.5145,0.5946,0.6466,0.683,0.7077,0.7229,0.7303,0.7394,0.7459,0.7532,0.7573,0.7607,0.767,0.7768,0.7879,0.7959,0.8002,0.7993,0.7958,0.7938,0.7962,0.8005,0.8029,0.805
P4,0.0079,0.0139,0.0512,0.1277,0.1875,0.2162,0.227,0.217,0.1932,0.1591,0.1199,0.0918,0.0703,0.0424,0.0212,0.0153,0.014,0.0093,0.0069,0.0096,0.0176,0.0254,0.0274,0.027,0.0282,0.0303,0.0338,0.04,0.0477,0.051,0.048,0.043,0.0384,0.0375,0.0458,0.0699
P5,0.0063,0.0077,0.0134,0.0202,0.0207,0.0201,0.0233,0.0241,0.0286,0.0666,0.1834,0.3318,0.4179,0.4361,0.4044,0.3425,0.2681,0.1895,0.1186,0.0718,0.0469,0.0354,0.0284,0.0244,0.0244,0.0261,0.0294,0.0354,0.043,0.0462,0.0434,0.0389,0.0342,0.0337,0.0421,0.0666
P6,0.0096,0.0086,0.0146,0.0205,0.0198,0.0173,0.0172,0.0156,0.016,0.0261,0.0478,0.0625,0.0589,0.0393,0.022,0.019,0.0217,0.0189,0.021,0.0546,0.1627,0.3303,0.4909,0.6086,0.6796,0.7194,0.744,0.7589,0.7674,0.7692,0.7665,0.7653,0.7691,0.7743,0.7778,0.7815
P7,0.008,0.0165,0.0373,0.0608,0.0661,0.0642,0.0695,0.0682,0.0695,0.0975,0.1444,0.1701,0.1632,0.1264,0.0862,0.0733,0.072,0.0564,0.0457,0.0578,0.0825,0.0987,0.0997,0.0972,0.0993,0.1046,0.1127,0.1261,0.1415,0.1476,0.1418,0.1328,0.1231,0.1208,0.1366,0.1769
P8,0.0511,0.0918,0.1778,0.2781,0.3448,0.3801,0.3984,0.395,0.3758,0.3417,0.2971,0.2617,0.23,0.1784,0.1266,0.1098,0.108,0.0887,0.0752,0.0911,0.1216,0.1403,0.141,0.1377,0.14,0.1459,0.1552,0.1702,0.1871,0.1938,0.1874,0.177,0.1662,0.1638,0.1807,0.2237
P9,0.0422,0.0629,0.0923,0.1141,0.1158,0.1139,0.1256,0.1296,0.1412,0.2162,0.3713,0.5166,0.5868,0.6022,0.5811,0.5333,0.4677,0.3887,0.3054,0.2396,0.1954,0.1708,0.1523,0.1414,0.1412,0.1463,0.1556,0.1712,0.1885,0.1951,0.1887,0.1783,0.1675,0.1655,0.1827,0.2273
P10,0.0565,0.0717,0.0979,0.1146,0.1132,0.1069,0.1107,0.1073,0.1078,0.1419,0.1964,0.2257,0.2199,0.1798,0.1345,0.125,0.1345,0.1246,0.1285,0.2014,0.3522,0.517,0.6357,0.7053,0.7422,0.7632,0.7775,0.7868,0.7922,0.7925,0.789,0.7866,0.7888,0.7927,0.7955,0.7985
P11,0.2296,0.2963,0.3809,0.4646,0.5192,0.5502,0.5682,0.5695,0.5587,0.5357,0.5024,0.4749,0.448,0.3992,0.3449,0.3243,0.3197,0.2924,0.2717,0.2918,0.3321,0.3599,0.3652,0.3637,0.3672,0.3745,0.3852,0.4016,0.4188,0.4248,0.4173,0.406,0.3953,0.3929,0.4093,0.4502
P12,0.2489,0.2737,0.3021,0.325,0.3293,0.3268,0.3325,0.3284,0.3283,0.3611,0.4134,0.4451,0.4439,0.409,0.3646,0.3552,0.3653,0.3541,0.3567,0.4267,0.551,0.6663,0.7358,0.7717,0.7907,0.803,0.8128,0.8197,0.824,0.8234,0.8194,0.8165,0.8182,0.8219,0.8242,0.8275
P13,0.1323,0.1692,0.2141,0.2504,0.262,0.2649,0.2769,0.2773,0.2808,0.3215,0.3804,0.4121,0.408,0.368,0.3168,0.2982,0.2949,0.2678,0.2468,0.2679,0.3088,0.3356,0.3392,0.337,0.3409,0.3487,0.3604,0.3778,0.3961,0.4027,0.3952,0.3835,0.3725,0.3703,0.3883,0.4321
P14,0.2187,0.2547,0.292,0.3196,0.3278,0.3309,0.3476,0.3548,0.369,0.439,0.5632,0.666,0.7128,0.7252,0.7159,0.6892,0.6473,0.5904,0.5236,0.4682,0.4272,0.403,0.3834,0.372,0.3718,0.3778,0.3885,0.4048,0.4222,0.4281,0.4206,0.4096,0.3987,0.3967,0.4137,0.4553
P15,0.4569,0.5172,0.583,0.6451,0.6862,0.7074,0.7215,0.7249,0.7217,0.7114,0.696,0.6831,0.6689,0.6399,0.6049,0.5886,0.5809,0.5564,0.5343,0.5458,0.5762,0.6012,0.6089,0.6108,0.6146,0.6208,0.6295,0.6409,0.6525,0.6556,0.6489,0.6404,0.634,0.6333,0.6432,0.6689
P16,0.4429,0.4824,0.5242,0.5597,0.5775,0.5859,0.6018,0.6095,0.6199,0.66,0.7282,0.783,0.8075,0.8148,0.8115,0.7994,0.7792,0.7489,0.7103,0.6787,0.6531,0.6378,0.6248,0.6171,0.6175,0.6226,0.6311,0.6428,0.6546,0.6577,0.6511,0.643,0.6363,0.6356,0.6463,0.6728
P17,0.4687,0.498,0.5282,0.5558,0.5684,0.5714,0.578,0.5755,0.5755,0.5959,0.6321,0.6582,0.6621,0.6434,0.6171,0.6116,0.6178,0.6097,0.6091,0.6513,0.7197,0.7781,0.8094,0.8251,0.8341,0.8414,0.8482,0.8534,0.8568,0.8559,0.8516,0.8485,0.8497,0.8528,0.8549,0.8585
P18,0.0044,0.0042,0.0081,0.0138,0.0178,0.0203,0.0228,0.0247,0.0262,0.0273,0.0277,0.0279,0.0277,0.0269,0.025,0.022,0.0177,0.0131,0.0088,0.0063,0.005,0.0045,0.0043,0.0041,0.0043,0.0042,0.0044,0.0045,0.0048,0.0051,0.0049,0.0047,0.0046,0.005,0.0057,0.0075
P19,0.0078,0.0072,0.01,0.0138,0.0168,0.0178,0.0173,0.0162,0.0148,0.0125,0.0102,0.0088,0.0076,0.0062,0.0052,0.0051,0.0051,0.005,0.0055,0.0075,0.0122,0.0175,0.0207,0.0222,0.0232,0.0241,0.0252,0.0266,0.028,0.0284,0.0281,0.0278,0.0279,0.0289,0.0312,0.0349
P20,0.003,0.0054,0.006,0.0062,0.0065,0.0066,0.0064,0.0065,0.0073,0.0099,0.0155,0.021,0.0242,0.0257,0.0265,0.0268,0.0268,0.026,0.0246,0.0229,0.0215,0.0204,0.0196,0.0192,0.0193,0.0198,0.0209,0.0221,0.0232,0.0235,0.0232,0.0231,0.0231,0.0239,0.0259,0.0296
P21,0.0032,0.0051,0.0086,0.0143,0.0172,0.0187,0.02,0.0201,0.0197,0.019,0.0176,0.0161,0.015,0.0128,0.0105,0.0095,0.0092,0.0081,0.0074,0.0078,0.0087,0.0094,0.0093,0.0091,0.0091,0.0094,0.01,0.0108,0.0118,0.0122,0.0119,0.0113,0.0109,0.0113,0.0131,0.0167
P22,0.0054,0.0052,0.0067,0.0085,0.0097,0.0097,0.0102,0.0105,0.0117,0.0144,0.0196,0.0234,0.0251,0.0256,0.0254,0.0242,0.0224,0.0196,0.0161,0.013,0.0108,0.0097,0.0089,0.0083,0.0083,0.0087,0.0093,0.0101,0.0109,0.0114,0.0112,0.0106,0.0104,0.0108,0.0122,0.0157
P23,0.0044,0.0055,0.007,0.0092,0.0093,0.0096,0.0095,0.0096,0.0098,0.0114,0.0139,0.0153,0.0149,0.0132,0.0113,0.0108,0.0111,0.0104,0.0104,0.0126,0.0162,0.0189,0.0198,0.0199,0.0204,0.0213,0.0223,0.0236,0.0248,0.0254,0.025,0.0248,0.0247,0.0255,0.0276,0.0315
P24,0.0055,0.0069,0.0083,0.0111,0.0118,0.0122,0.0127,0.013,0.0134,0.0151,0.017,0.0181,0.0181,0.0169,0.0153,0.0145,0.0142,0.0128,0.0116,0.0116,0.0122,0.0125,0.0122,0.012,0.0121,0.0125,0.0133,0.0144,0.0154,0.0158,0.0155,0.0152,0.015,0.0154,0.0173,0.0211
P25,0.0084,0.0094,0.0119,0.0153,0.0177,0.019,0.0202,0.0207,0.0213,0.0221,0.0229,0.0237,0.0243,0.0247,0.0248,0.0248,0.0245,0.0235,0.0219,0.0201,0.0185,0.0174,0.0167,0.0162,0.0163,0.0169,0.0179,0.019,0.0202,0.0207,0.0206,0.0205,0.0204,0.021,0.0231,0.0267
P26,0.7056,0.7364,0.7706,0.8105,0.8347,0.845,0.8524,0.8561,0.8604,0.8628,0.8667,0.8706,0.8728,0.8732,0.8727,0.8719,0.8699,0.8664,0.8602,0.8602,0.8574,0.8562,0.8542,0.8542,0.8563,0.8602,0.8655,0.8696,0.8725,0.8714,0.8671,0.8637,0.8645,0.8673,0.869,0.8727
