Horodate_UTC;Consommations totale (W)
13/10/2013 22:00;37576289504
13/10/2013 22:30;35230706411
13/10/2013 23:00;34428316838
13/10/2013 23:30;33922151279
14/10/2013 00:00;33447730318
14/10/2013 00:30;31811786665
14/10/2013 01:00;30572424807
14/10/2013 01:30;29543363726
14/10/2013 02:00;28919999723
14/10/2013 02:30;28574876855
14/10/2013 03:00;28668367602
14/10/2013 03:30;28772583440
14/10/2013 04:00;29377866297
14/10/2013 04:30;29678337268
14/10/2013 05:00;30471408688
14/10/2013 05:30;30909601016
14/10/2013 06:00;31321155804
14/10/2013 06:30;32507568323
14/10/2013 07:00;33910450133
14/10/2013 07:30;35041288891
14/10/2013 08:00;35967013127
14/10/2013 08:30;36532129770
14/10/2013 09:00;37023612638
14/10/2013 09:30;37434608493
14/10/2013 10:00;38369536541
14/10/2013 10:30;39018357521
14/10/2013 11:00;37435329457
14/10/2013 11:30;35636075732
14/10/2013 12:00;34684483884
14/10/2013 12:30;33304038591
14/10/2013 13:00;32267393710
14/10/2013 13:30;31375318134
14/10/2013 14:00;30774857420
14/10/2013 14:30;30463966676
14/10/2013 15:00;30508260517
14/10/2013 15:30;31217950458
14/10/2013 16:00;32732814508
14/10/2013 16:30;34976998746
14/10/2013 17:00;37831963443
14/10/2013 17:30;39363728154
14/10/2013 18:00;38809303957
14/10/2013 18:30;37709388432
14/10/2013 19:00;36582301632
14/10/2013 19:30;35372056984
14/10/2013 20:00;35154892986
14/10/2013 20:30;37424761324
14/10/2013 21:00;37391331947
14/10/2013 21:30;37353025719
14/10/2013 22:00;36453915188
14/10/2013 22:30;34132609156
14/10/2013 23:00;33357550659
14/10/2013 23:30;32941754856
15/10/2013 00:00;32584539507
15/10/2013 00:30;31131767769
15/10/2013 01:00;29990000972
15/10/2013 01:30;29099109435
15/10/2013 02:00;28883720838
15/10/2013 02:30;29005171720
15/10/2013 03:00;30352754547
15/10/2013 03:30;31697674961
15/10/2013 04:00;34566788125
15/10/2013 04:30;37283727454
15/10/2013 05:00;40516968819
15/10/2013 05:30;42265957518
15/10/2013 06:00;42783591358
15/10/2013 06:30;43269650710
15/10/2013 07:00;43945101955
15/10/2013 07:30;44350924122
15/10/2013 08:00;44568817974
15/10/2013 08:30;44745291238
15/10/2013 09:00;44967162090
15/10/2013 09:30;45278141284
15/10/2013 10:00;45301508764
15/10/2013 10:30;45559630895
15/10/2013 11:00;44709054753
15/10/2013 11:30;44069291485
15/10/2013 12:00;43851229829
15/10/2013 12:30;42680113033
15/10/2013 13:00;41643926896
15/10/2013 13:30;40850212279
15/10/2013 14:00;40130239130
15/10/2013 14:30;39523700986
15/10/2013 15:00;39117295481
15/10/2013 15:30;39186571545
15/10/2013 16:00;40129531797
15/10/2013 16:30;42360797982
15/10/2013 17:00;44824867891
15/10/2013 17:30;45195844808
15/10/2013 18:00;43522818135
15/10/2013 18:30;41710152813
15/10/2013 19:00;40055735184
15/10/2013 19:30;38528165659
15/10/2013 20:00;38131483928
15/10/2013 20:30;40249675874
15/10/2013 21:00;39863185729
15/10/2013 21:30;39553880857
15/10/2013 22:00;37945531835
15/10/2013 22:30;35364273957
15/10/2013 23:00;34451393592
15/10/2013 23:30;34026157057
16/10/2013 00:00;33677349007
16/10/2013 00:30;32202139160
16/10/2013 01:00;31092118299
16/10/2013 01:30;30285045863
16/10/2013 02:00;30024959613
16/10/2013 02:30;30095069875
16/10/2013 03:00;31163379789
16/10/2013 03:30;32353767404
16/10/2013 04:00;35078018944
16/10/2013 04:30;37813383315
16/10/2013 05:00;41119785683
16/10/2013 05:30;42816965037
16/10/2013 06:00;43215958346
16/10/2013 06:30;43513115811
16/10/2013 07:00;44096426718
16/10/2013 07:30;44505632118
16/10/2013 08:00;44702531447
16/10/2013 08:30;44780461339
16/10/2013 09:00;44999341773
16/10/2013 09:30;45295829718
16/10/2013 10:00;45093902208
16/10/2013 10:30;45293542190
16/10/2013 11:00;44393062746
16/10/2013 11:30;43890774768
16/10/2013 12:00;43868926751
16/10/2013 12:30;42839029089
16/10/2013 13:00;41950113771
16/10/2013 13:30;41245774163
16/10/2013 14:00;40597207972
16/10/2013 14:30;39979917388
16/10/2013 15:00;39572249393
16/10/2013 15:30;39705349699
16/10/2013 16:00;40470063292
16/10/2013 16:30;42320768369
16/10/2013 17:00;44477103335
16/10/2013 17:30;44779644063
16/10/2013 18:00;43111816296
16/10/2013 18:30;41321652640
16/10/2013 19:00;39703473725
16/10/2013 19:30;38312934344
16/10/2013 20:00;37978279523
16/10/2013 20:30;40204419801
16/10/2013 21:00;39807986042
16/10/2013 21:30;39475943193
16/10/2013 22:00;37804513399
16/10/2013 22:30;35182505406
16/10/2013 23:00;34280660074
16/10/2013 23:30;33839145366
17/10/2013 00:00;33446530876
17/10/2013 00:30;32054528396
17/10/2013 01:00;30992001014
17/10/2013 01:30;30182156648
17/10/2013 02:00;29942487178
17/10/2013 02:30;29982386362
17/10/2013 03:00;31087635016
17/10/2013 03:30;32216818023
17/10/2013 04:00;34733095532
17/10/2013 04:30;37281186308
17/10/2013 05:00;40263053960
17/10/2013 05:30;41894734791
17/10/2013 06:00;42628755509
17/10/2013 06:30;43356273370
17/10/2013 07:00;44137934735
17/10/2013 07:30;44642955210
17/10/2013 08:00;44959625429
17/10/2013 08:30;45146912308
17/10/2013 09:00;45483094759
17/10/2013 09:30;45820357337
17/10/2013 10:00;45679939520
17/10/2013 10:30;45909104237
17/10/2013 11:00;44979587221
17/10/2013 11:30;44446616646
17/10/2013 12:00;44420646527
17/10/2013 12:30;43327664398
17/10/2013 13:00;42328675243
17/10/2013 13:30;41513932109
17/10/2013 14:00;40848756498
17/10/2013 14:30;40240039261
17/10/2013 15:00;39610136589
17/10/2013 15:30;39651102052
17/10/2013 16:00;40234036202
17/10/2013 16:30;41943276775
17/10/2013 17:00;44311153407
17/10/2013 17:30;44801528087
17/10/2013 18:00;43091420315
17/10/2013 18:30;41236975857
17/10/2013 19:00;39584596946
17/10/2013 19:30;38067092841
17/10/2013 20:00;37671437404
17/10/2013 20:30;39784038101
17/10/2013 21:00;39487734025
17/10/2013 21:30;39297308640
17/10/2013 22:00;37707826807
17/10/2013 22:30;35164679078
17/10/2013 23:00;34268740768
17/10/2013 23:30;33805678573
18/10/2013 00:00;33436257016
18/10/2013 00:30;31994899928
18/10/2013 01:00;30890433344
18/10/2013 01:30;30048118040
18/10/2013 02:00;29754917381
18/10/2013 02:30;29762623203
18/10/2013 03:00;30832070313
18/10/2013 03:30;32017269548
18/10/2013 04:00;34733955469
18/10/2013 04:30;37474720005
18/10/2013 05:00;40756788905
18/10/2013 05:30;42460450489
18/10/2013 06:00;42737719135
18/10/2013 06:30;42750931800
18/10/2013 07:00;43158675010
18/10/2013 07:30;43340428865
18/10/2013 08:00;43314252947
18/10/2013 08:30;43288018981
18/10/2013 09:00;43288382632
18/10/2013 09:30;43398310726
18/10/2013 10:00;43125142427
18/10/2013 10:30;43238938865
18/10/2013 11:00;42297098519
18/10/2013 11:30;41601667695
18/10/2013 12:00;41439988348
18/10/2013 12:30;40329639861
18/10/2013 13:00;39324761834
18/10/2013 13:30;38507220589
18/10/2013 14:00;37738967135
18/10/2013 14:30;37108909392
18/10/2013 15:00;36643473045
18/10/2013 15:30;36788879737
18/10/2013 16:00;37558006034
18/10/2013 16:30;39588450808
18/10/2013 17:00;42578041929
18/10/2013 17:30;43161083074
18/10/2013 18:00;41538700696
18/10/2013 18:30;39842991724
18/10/2013 19:00;38303345535
18/10/2013 19:30;36875880645
18/10/2013 20:00;36493191683
18/10/2013 20:30;38745643127
18/10/2013 21:00;38577064103
18/10/2013 21:30;38340741422
18/10/2013 22:00;36739389030
18/10/2013 22:30;34182268489
18/10/2013 23:00;33336291434
18/10/2013 23:30;32957279337
19/10/2013 00:00;32630381752
19/10/2013 00:30;31243739701
19/10/2013 01:00;30215676491
19/10/2013 01:30;29454789181
19/10/2013 02:00;29224557519
19/10/2013 02:30;29321888325
19/10/2013 03:00;30428039114
19/10/2013 03:30;31603423946
19/10/2013 04:00;34213214289
19/10/2013 04:30;36924586620
19/10/2013 05:00;40227048973
19/10/2013 05:30;42102131915
19/10/2013 06:00;42494981511
19/10/2013 06:30;42647626239
19/10/2013 07:00;43163342939
19/10/2013 07:30;43430656849
19/10/2013 08:00;43426197618
19/10/2013 08:30;43387582322
19/10/2013 09:00;43344356687
19/10/2013 09:30;43399710360
19/10/2013 10:00;43162638185
19/10/2013 10:30;43311653571
19/10/2013 11:00;42207727538
19/10/2013 11:30;41290821475
19/10/2013 12:00;40909592504
19/10/2013 12:30;39653727832
19/10/2013 13:00;38532332823
19/10/2013 13:30;37604773169
19/10/2013 14:00;36707079730
19/10/2013 14:30;36048931142
19/10/2013 15:00;35710933046
19/10/2013 15:30;36024970589
19/10/2013 16:00;36765218567
19/10/2013 16:30;38507868694
19/10/2013 17:00;41159225908
19/10/2013 17:30;41804193776
19/10/2013 18:00;40342981578
19/10/2013 18:30;38804870114
19/10/2013 19:00;37551592782
19/10/2013 19:30;36358254896
19/10/2013 20:00;36247802556
19/10/2013 20:30;38590427320
19/10/2013 21:00;38404929087
19/10/2013 21:30;38141158873
19/10/2013 22:00;36145161561
19/10/2013 22:30;33499562017
19/10/2013 23:00;32522647074
19/10/2013 23:30;31936497851
20/10/2013 00:00;31418367015
20/10/2013 00:30;29860541692
20/10/2013 01:00;28646788012
20/10/2013 01:30;27687974463
20/10/2013 02:00;27157609419
20/10/2013 02:30;26881776068
20/10/2013 03:00;27184997318
20/10/2013 03:30;27494049124
20/10/2013 04:00;28356483426
20/10/2013 04:30;29043228822
20/10/2013 05:00;30307968327
20/10/2013 05:30;31234042307
20/10/2013 06:00;31888203554
20/10/2013 06:30;32878514278
20/10/2013 07:00;34201372698
20/10/2013 07:30;35060670951
20/10/2013 08:00;35551904109
20/10/2013 08:30;35710751402
20/10/2013 09:00;35928136250
20/10/2013 09:30;36382489576
20/10/2013 10:00;37327407036
20/10/2013 10:30;38106859089
20/10/2013 11:00;36934471686
20/10/2013 11:30;35628486406
20/10/2013 12:00;35129634226
20/10/2013 12:30;33965681688
20/10/2013 13:00;32980490193
20/10/2013 13:30;32119160510
20/10/2013 14:00;31438597351
20/10/2013 14:30;31058563099
20/10/2013 15:00;30891496979
20/10/2013 15:30;31267148283
20/10/2013 16:00;32282452101
20/10/2013 16:30;34068869419
20/10/2013 17:00;36550785995
20/10/2013 17:30;37006743549
20/10/2013 18:00;35693312071
20/10/2013 18:30;34343415461
20/10/2013 19:00;33272919481
20/10/2013 19:30;32266097512
20/10/2013 20:00;32437504476
20/10/2013 20:30;35041832459
20/10/2013 21:00;35184752803
20/10/2013 21:30;35277818794
20/10/2013 22:00;33917571173
20/10/2013 22:30;31488523666
20/10/2013 23:00;30585181360
20/10/2013 23:30;30019544955
21/10/2013 00:00;29401448324
21/10/2013 00:30;27744006174
21/10/2013 01:00;26429098921
